NON-TERMINAL,FIRST SET,FOLLOW SET
"<program'>","ACTIVATE ACTION","$"
"<program>","ACTIVATE ACTION","$"
"<subroutine_list>","ACTION ε","ACTIVATE ACTION"
"<subroutine>","ACTION","ACTIVATE ACTION"
"<params>","THOUGHT ε PULSE SYNAPSE STREAM SPARK CLUSTER NEURON","R_PAREN"
"<param_list>","THOUGHT PULSE SYNAPSE STREAM SPARK CLUSTER NEURON","COMMA R_PAREN"
"<param_item>","THOUGHT PULSE SYNAPSE STREAM SPARK CLUSTER NEURON","COMMA R_PAREN"
"<rec_type>","THOUGHT PULSE SYNAPSE STREAM SPARK CLUSTER VOID NEURON","IDENTIFIER"
"<declaration>","THOUGHT PULSE SYNAPSE STREAM SPARK INSTINCT NEURON","PATH R_BRACE ECHO LENGTH SYNAPSE RECALL SPARK_LIT SPARK L_PAREN FLOW DECREMENT MINUS BASE THOUGHT EVALUATE EXPRESS IDENTIFIER INSTINCT DORMANT CYCLE STIMULATE STREAM THOUGHT_LIT TRUE PULSE_LIT NEURON_LIT INCREMENT NOT PULSE TRANSCRIBE FALSE REACT SENSE NEURON STREAM_LIT PLUS"
"<id_decl>","THOUGHT PULSE SYNAPSE STREAM SPARK NEURON","PATH R_BRACE ECHO LENGTH SYNAPSE RECALL SPARK_LIT SPARK L_PAREN FLOW DECREMENT MINUS BASE THOUGHT EVALUATE EXPRESS IDENTIFIER INSTINCT DORMANT CYCLE STIMULATE STREAM THOUGHT_LIT TRUE PULSE_LIT NEURON_LIT INCREMENT NOT PULSE TRANSCRIBE FALSE REACT SENSE NEURON STREAM_LIT PLUS"
"<id_list>","IDENTIFIER","COMMA SEMICOLON"
"<id_init>","IDENTIFIER","COMMA SEMICOLON"
"<const_decl>","INSTINCT","PATH R_BRACE ECHO LENGTH SYNAPSE RECALL SPARK_LIT SPARK L_PAREN FLOW DECREMENT MINUS BASE THOUGHT EVALUATE EXPRESS IDENTIFIER INSTINCT DORMANT CYCLE STIMULATE STREAM THOUGHT_LIT TRUE PULSE_LIT NEURON_LIT INCREMENT NOT PULSE TRANSCRIBE FALSE REACT SENSE NEURON STREAM_LIT PLUS"
"<const_list>","IDENTIFIER","COMMA SEMICOLON"
"<const_init>","IDENTIFIER","COMMA SEMICOLON"
"<cluster_decl>","THOUGHT PULSE SYNAPSE STREAM SPARK NEURON","PATH R_BRACE ECHO LENGTH SYNAPSE RECALL SPARK_LIT SPARK L_PAREN FLOW DECREMENT MINUS BASE THOUGHT EVALUATE EXPRESS IDENTIFIER INSTINCT DORMANT CYCLE STIMULATE STREAM THOUGHT_LIT TRUE PULSE_LIT NEURON_LIT INCREMENT NOT PULSE TRANSCRIBE FALSE REACT SENSE NEURON STREAM_LIT PLUS"
"<cluster_list>","IDENTIFIER","COMMA SEMICOLON"
"<cluster_item>","IDENTIFIER","COMMA SEMICOLON"
"<cluster_1D>","IDENTIFIER","COMMA SEMICOLON"
"<1D_init>","L_BRACE","COMMA R_BRACE SEMICOLON"
"<cluster_1D_list>","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS","COMMA R_BRACE"
"<cluster_2D>","IDENTIFIER","COMMA SEMICOLON"
"<2D_init>","L_BRACE","COMMA SEMICOLON"
"<cluster_2D_list>","L_BRACE","COMMA R_BRACE"
"<data_type>","THOUGHT PULSE SYNAPSE STREAM SPARK NEURON","L_BRACKET IDENTIFIER CLUSTER"
"<statement_list>","ECHO LENGTH SYNAPSE RECALL SPARK_LIT SPARK L_PAREN FLOW THOUGHT EVALUATE EXPRESS IDENTIFIER INSTINCT DORMANT CYCLE STIMULATE STREAM THOUGHT_LIT TRUE PULSE_LIT NEURON_LIT ε PULSE TRANSCRIBE FALSE REACT SENSE NEURON STREAM_LIT","PATH R_BRACE ECHO LENGTH SYNAPSE RECALL SPARK_LIT SPARK L_PAREN FLOW BASE THOUGHT EVALUATE EXPRESS IDENTIFIER INSTINCT DORMANT CYCLE STIMULATE STREAM THOUGHT_LIT TRUE PULSE_LIT NEURON_LIT PULSE TRANSCRIBE FALSE REACT SENSE NEURON STREAM_LIT"
"<statement>","ECHO LENGTH SYNAPSE RECALL SPARK_LIT SPARK L_PAREN FLOW THOUGHT EVALUATE EXPRESS IDENTIFIER INSTINCT DORMANT CYCLE STIMULATE STREAM THOUGHT_LIT TRUE PULSE_LIT NEURON_LIT PULSE TRANSCRIBE FALSE REACT SENSE NEURON STREAM_LIT","PATH R_BRACE ECHO LENGTH SYNAPSE RECALL SPARK_LIT SPARK L_PAREN FLOW BASE THOUGHT EVALUATE EXPRESS IDENTIFIER INSTINCT DORMANT CYCLE STIMULATE STREAM THOUGHT_LIT TRUE PULSE_LIT NEURON_LIT PULSE TRANSCRIBE FALSE REACT SENSE NEURON STREAM_LIT"
"<io_stmt>","EXPRESS SENSE","PATH R_BRACE ECHO LENGTH SYNAPSE RECALL SPARK_LIT SPARK L_PAREN FLOW BASE THOUGHT EVALUATE EXPRESS IDENTIFIER INSTINCT DORMANT CYCLE STIMULATE STREAM THOUGHT_LIT TRUE PULSE_LIT NEURON_LIT PULSE TRANSCRIBE FALSE REACT SENSE NEURON STREAM_LIT"
"<conditional_stmt>","STIMULATE","PATH R_BRACE ECHO LENGTH SYNAPSE RECALL SPARK_LIT SPARK L_PAREN FLOW BASE THOUGHT EVALUATE EXPRESS IDENTIFIER INSTINCT DORMANT CYCLE STIMULATE STREAM THOUGHT_LIT TRUE PULSE_LIT NEURON_LIT PULSE TRANSCRIBE FALSE REACT SENSE NEURON STREAM_LIT"
"<opt_inhibit>","ε INHIBIT","PATH R_BRACE ECHO LENGTH SYNAPSE RECALL SPARK_LIT SPARK L_PAREN FLOW BASE THOUGHT EVALUATE EXPRESS IDENTIFIER INSTINCT DORMANT CYCLE STIMULATE STREAM THOUGHT_LIT TRUE PULSE_LIT NEURON_LIT PULSE TRANSCRIBE FALSE REACT SENSE NEURON STREAM_LIT"
