### 1. FIRST SETS
<program'>                | [ACTIVATE, ACTION]
<program>                 | [ACTIVATE, ACTION]
<subroutine_list>         | [ACTION, ε]
<subroutine>              | [ACTION]
<params>                  | [THOUGHT, ε, PULSE, SYNAPSE, STREAM, SPARK, CLUSTER, NEURON]
<param_list>              | [THOUGHT, PULSE, SYNAPSE, STREAM, SPARK, CLUSTER, NEURON]
<param_item>              | [THOUGHT, PULSE, SYNAPSE, STREAM, SPARK, CLUSTER, NEURON]
<rec_type>                | [THOUGHT, PULSE, SYNAPSE, STREAM, SPARK, CLUSTER, VOID, NEURON]
<declaration>             | [THOUGHT, PULSE, SYNAPSE, STREAM, SPARK, INSTINCT, NEURON]
<id_decl>                 | [THOUGHT, PULSE, SYNAPSE, STREAM, SPARK, NEURON]
<id_list>                 | [IDENTIFIER]
<id_init>                 | [IDENTIFIER]
<const_decl>              | [INSTINCT]
<const_list>              | [IDENTIFIER]
<const_init>              | [IDENTIFIER]
<cluster_decl>            | [THOUGHT, PULSE, SYNAPSE, STREAM, SPARK, NEURON]
<cluster_list>            | [IDENTIFIER]
<cluster_item>            | [IDENTIFIER]
<cluster_1D>              | [IDENTIFIER]
<1D_init>                 | [L_BRACE]
<cluster_1D_list>         | [LENGTH, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, L_PAREN, DECREMENT, NEURON_LIT, INCREMENT, FALSE, TRANSCRIBE, IDENTIFIER, STREAM_LIT, PLUS]
<cluster_2D>              | [IDENTIFIER]
<2D_init>                 | [L_BRACE]
<cluster_2D_list>         | [L_BRACE]
<data_type>               | [THOUGHT, PULSE, SYNAPSE, STREAM, SPARK, NEURON]
<statement_list>          | [ECHO, STIMULATE, LENGTH, SYNAPSE, RECALL, STREAM, SPARK, FLOW, THOUGHT, EVALUATE, ε, EXPRESS, PULSE, TRANSCRIBE, IDENTIFIER, INSTINCT, REACT, SENSE, NEURON, DORMANT, CYCLE]
